X,Y,wind_id,GID_0,turbines,landscape.area,water,urban,power
2241872.92532242,-4280556.87624897,32762,ZAF,4,5.55834849712074,0,0,
2045034.74771998,-4056747.15508446,32763,ZAF,5,4.69012042676139,0,0,7.15052368464431
2042872.0345401,-4056474.61827127,32764,ZAF,16,10.5730436228696,0,0,30.9859616535089
2043544.13602059,-4057765.52697931,32765,ZAF,2,2.49072368112585,0,0,
2044104.6137371,-4053892.87895818,32766,ZAF,3,3.04588185344225,0,0,
2045896.69346963,-4053023.60715679,32767,ZAF,6,5.15385054649281,0,0,9.52429475886816
1692531.73537566,-4348618.83461507,32768,ZAF,9,7.52847039481044,0,0,15.9970458858879
1668823.11683317,-4234451.40335355,32769,ZAF,46,24.6101664638401,0,0,79.1032410867198
1614235.74001043,-4214299.83366777,32770,ZAF,37,20.3580654587886,0,0,66.6083935076933
2141047.43601352,-4330133.81702712,32771,ZAF,31,19.3714003677062,0,0,59.4185905100475
2279263.36650519,-4167643.61475305,32772,ZAF,23,13.2300348134112,0,0,43.3826180137572
2277110.38286112,-4173730.46500982,32773,ZAF,47,30.8555249203734,0,0,85.6983918708642
2275971.39526523,-4170027.15989651,32774,ZAF,16,10.721474036674,0,0,31.0869063590448
1599276.94983796,-4028325.08324448,32775,ZAF,40,35.2882182800559,0,0,79.358463816954
2280074.90742971,-4187380.68084811,32776,ZAF,3,3.6908413212657,0,0,
2284875.52726552,-4189087.53167751,32777,ZAF,3,3.6034653523289,0,0,
2283428.96012894,-4189001.48915486,32778,ZAF,29,33.4661481539266,0,0,60.0444825712109
2279471.0630672,-4180483.49278652,32779,ZAF,20,17.7213873269105,0,0,40.9925688509981
2278943.56735343,-4177060.5149818,32780,ZAF,5,5.42254082479738,0,0,6.29858013115501
2288051.88321528,-4187891.4201338,32781,ZAF,3,3.99904503381193,0,0,
2287387.20584361,-4190019.15512575,32782,ZAF,15,16.6158707048559,0,0,28.9782349821038
2137108.35245513,-4336590.24742234,32783,ZAF,2,3.0850188344357,0,0,
2137135.35958544,-4338105.50849689,32784,ZAF,2,3.24762470171148,0,0,
2141387.91317258,-4338674.56077748,32785,ZAF,26,20.6200446142322,0,0,53.0779063533098
2146424.94790492,-4339130.56694324,32786,ZAF,3,3.82013100508916,0,0,
2157377.92629838,-4337871.06152133,32787,ZAF,19,18.047679265523,0,0,38.7872018187577
2161884.61261674,-4337525.98017676,32788,ZAF,6,6.34379195448387,0,0,8.38829154246193
2172889.57720155,-4323863.02540951,32789,ZAF,2,2.54842407780832,0,0,
2174226.16202013,-4322685.15268937,32790,ZAF,8,7.14283894925833,0,0,13.5516117834534
2170525.83780746,-4324099.40731526,32791,ZAF,17,12.5973477063177,0,0,33.8384799594388
2114991.30596388,-3934385.05774587,32792,ZAF,45,41.1572759039392,0,0,87.6508127098042
2113576.58533069,-3932762.32287653,32793,ZAF,2,2.81918725665933,0,0,
2112455.69569565,-3933522.29715788,32794,ZAF,8,6.99988912901342,0,0,13.6349142793433
2113865.03816879,-3934574.08280344,32795,ZAF,2,3.25718278359687,0,0,
2122438.60825301,-3930961.95620088,32796,ZAF,8,6.10948161867309,0,0,14.0381452155569
2119767.53328345,-3931111.02400942,32797,ZAF,2,2.57695323510072,0,0,
2164545.5398705,-3908339.06641143,32798,ZAF,28,21.5372513352649,0,0,56.7264949247907
2153142.19928756,-3908127.6108513,32799,ZAF,9,9.54997425971264,0,0,14.9227149397822
2155644.4451452,-3908225.32436535,32800,ZAF,12,10.4728341620206,0,0,22.7390491296702
2156847.38942445,-3912279.83348859,32801,ZAF,2,2.9271585901823,0,0,
2156540.34989764,-3910907.25999691,32802,ZAF,3,3.92779844279057,0,0,
2150435.33560559,-3907031.30995043,32803,ZAF,17,12.478212727734,0,0,33.7914679523073
2153869.6958308,-3910050.75732846,32804,ZAF,5,5.68310905620503,0,0,6.01530844950457
2148731.04766517,-3908393.70138105,32805,ZAF,7,5.11470692410517,0,0,12.0614567598978
2150043.32005614,-3909435.16615832,32806,ZAF,3,3.45705859640342,0,0,
2152468.26709401,-3911709.17262805,32807,ZAF,5,6.54592014207125,0,0,5.1711091145158
2151038.18792666,-3910011.40414099,32808,ZAF,2,2.74433770572954,0,0,
2335182.41250216,-4022263.4846481,32809,ZAF,11,9.75265920375442,0,0,20.3835492517048
2335577.43739483,-4023862.01548367,32810,ZAF,24,17.7599606031857,0,0,48.5213530754342
2333367.95822809,-4022544.25235969,32811,ZAF,2,2.62026467735118,0,0,
2335036.05667108,-4021071.88338723,32812,ZAF,3,3.63744626012242,0,0,
1601971.65916067,-4023820.60976926,32813,ZAF,6,5.26699275302839,0,0,9.42115329288552
5625088.47845141,-6005958.7469364,32814,ATF,3,2.27304626045585,0,0,
10246227.6641772,-4445075.7761746,32815,AUS,18,10.3525062421452,0,0,33.6689639623797
10097958.7814817,-4279831.28835276,32816,AUS,7,2.67259827779591,0,1,
10207589.2507481,-4442730.39022263,32817,AUS,3,3.33167408844209,0,0,
